,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
South Africa,"2,008.10","1,662.90","1,732.80","1,568.20","2,549.60","2,115.20","1,571.10","1,684.60",960.3,773.5,"1,026.90","1,380.00",996.7,"1,059.50",909.8,"1,009.70",788.5,856.3,108.1
South Korea,548.8,568.5,513.4,868.8,684.4,828,"1,244.20",635.2,856.5,691.9,631.7,914.3,"1,075.20",799.8,"1,098.80","1,031.70",777.5,"1,850.20",234.5
Spain,"3,255.10","3,568.50","4,201.30","4,289.90","5,189.60","5,224.00","4,496.60","5,067.00","4,542.40","4,785.40","4,923.30","5,335.70","6,129.10","6,017.20","7,448.90","7,037.60","5,936.60","6,202.60","1,147.10"
Sweden,"1,264.00","1,299.20","1,478.80","1,653.70","1,390.60","1,832.90","1,736.50","1,404.20","1,699.10","1,979.00","2,038.20","2,223.40","1,942.90","2,315.70","2,114.00","1,968.40","1,729.80","1,810.10",190.5
Switzerland,"1,149.10","1,217.30","1,066.20","1,388.10","1,943.10","1,492.70","1,380.40","1,612.70","1,178.90","1,752.60","1,689.40","1,908.30","1,853.60","2,300.10","2,172.30","1,714.30","2,193.10","1,653.80",269
Taiwan,205.2,236.2,224.6,238.9,124.6,136.5,388,146.6,215.3,112.9,430.6,224.6,403.5,340.6,297.3,388.8,335.6,762.4,57.9
Thailand,180.1,200.4,262.3,205.7,361.9,415.4,268.5,384.9,453.6,419.5,384.8,271.7,332.5,510.9,443.6,414.5,409.6,866.3,120.5
Turkey,381,536.7,494.1,372.5,"1,167.70",841.2,614.6,530.1,645,669.8,913.9,627.9,817.3,627.3,917.4,821.9,866.4,989,91.6
United Arab Emirates,663,539,689.3,562.3,867,838.4,849.9,"1,119.10","1,133.80",973.6,"1,228.30","1,651.50","1,187.90","1,504.90","1,356.50","1,763.80","1,602.20","2,259.50",315.5
USA,"14,139.10","12,677.50","13,340.70","12,346.00","13,843.40","13,218.50","11,463.80","10,242.80","11,390.20","10,485.40","11,225.70","10,265.30","13,388.30","11,832.40","12,435.20","15,196.10","14,965.50","14,361.80","2,639.00"
Grand Total,"75,402.10","78,946.70","90,237.30","91,843.30","101,067.60","95,846.10","90,814.90","85,685.70","90,317.90","91,498.40","94,299.70","98,118.80","108,006.50","108,321.40","111,058.40","114,016.50","110,932.20","118,872.40","21,373.30"
