LONDON,Visits (000s),,,,,,,,,,,,,,,,,,,Nights (000s),,,,,,,,,,,,,,,,,,,Spend (£m),,,,,,,,,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,,,
Country of origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p
Japan,294.5,232.5,265.0,242.9,245.2,220.1,167.8,180.5,168.2,166.4,177.9,155.3,157.5,151.4,180.3,174.8,192.7,310.1,66.8,"1,983.7","1,427.5","1,680.5","1,840.9","1,528.9","1,271.8",950.6,"1,578.1","1,051.3",900.9,"1,821.5","1,186.0",857.5,"1,027.5","1,069.5","1,168.0","1,204.5","1,585.0",311.0,176.1,145.7,145.6,165.5,134.1,134.7,102.3,227.4,117.7,110.8,181.8,135.6,162.7,135.4,142.9,173.8,219.1,277.2,43.9,610.0,455.0,514.0,479.0,448.0,372.0,267.0,394.0,388.0,271.0,308.0,260.0,251.0,207.0,224.0,222.0,227.0,250.0,43.9
Kenya,31.6,19.8,22.1,16.5,15.9,12.7,24.6,14.9,18.5,17.8,20.8,22.3,12.5,22.4,24.5,29.3,19.8,19.6,3.7,580.4,431.2,363.5,237.6,266.9,92.7,400.4,229.3,169.0,210.8,243.8,301.2,194.3,391.2,289.6,400.0,168.6,251.2,22.5,48.5,21.9,19.0,13.6,14.1,6.6,28.7,18.0,21.8,15.8,28.2,17.6,21.3,21.4,20.8,32.0,14.5,29.2,1.0,92.0,55.0,59.0,56.0,43.0,36.0,44.0,42.0,44.0,36.0,43.0,49.0,28.0,42.0,44.0,62.0,35.0,37.0,1.0
Kuwait,31.1,36.2,32.5,33.8,43.6,46.7,35.4,49.0,41.9,52.8,50.5,105.7,84.3,83.4,91.5,98.2,79.7,138.4,26.5,465.5,623.8,658.0,460.7,602.6,808.3,485.8,734.6,511.7,747.5,707.7,"1,302.5","1,682.8","1,219.2",855.4,"1,231.4","1,038.0","1,323.8",176.7,62.3,72.6,51.2,77.5,84.5,158.5,87.5,106.6,75.2,156.2,248.0,441.0,405.2,260.2,171.3,327.5,235.9,309.3,42.6,86.0,88.0,82.0,98.0,98.0,95.0,60.0,124.0,93.0,85.0,94.0,179.0,152.0,123.0,139.0,157.0,124.0,153.0,42.6
Luxembourg,23.9,16.9,38.4,25.9,28.2,31.7,35.0,27.9,26.8,40.0,40.1,51.2,56.1,78.1,61.3,41.0,54.8,69.9,1.0,75.4,36.6,146.7,96.4,70.5,94.5,184.8,62.5,88.5,181.5,115.2,160.1,168.3,266.8,162.4,194.0,308.5,205.6,0.7,8.0,4.6,14.1,11.3,11.6,10.4,18.2,10.4,8.2,13.9,17.4,27.9,27.5,46.0,28.3,22.6,36.0,37.0,1.2,31.0,28.0,41.0,32.0,32.0,32.0,35.0,33.0,24.0,34.0,31.0,40.0,37.0,46.0,44.0,41.0,36.0,37.0,1.2
Malaysia,60.5,46.7,65.0,52.8,52.7,47.0,45.6,77.9,89.8,82.5,72.0,113.4,109.5,126.0,128.7,123.2,122.0,135.1,20.2,581.6,373.0,439.6,410.1,632.6,362.9,443.2,"1,262.8",581.5,658.5,637.9,"1,032.5",807.4,899.0,816.0,870.6,826.6,775.9,151.5,36.3,35.4,39.5,44.9,44.7,43.3,31.3,95.2,80.0,63.4,74.2,106.4,96.3,102.2,117.4,104.1,104.7,94.2,22.8,143.0,133.0,154.0,134.0,118.0,103.0,86.0,154.0,152.0,125.0,123.0,177.0,156.0,157.0,148.0,160.0,151.0,152.0,22.8
Mexico,53.0,57.9,52.2,55.0,69.5,38.1,50.4,60.7,51.9,62.2,69.8,91.4,72.8,82.2,83.0,126.9,110.2,145.3,24.5,363.6,281.2,"2,283.9",418.9,562.5,347.5,322.7,428.2,223.9,419.7,363.1,569.6,434.3,439.9,402.4,571.4,484.0,703.9,114.6,27.0,22.0,78.9,27.5,50.3,24.5,29.2,36.6,213.3,38.9,28.6,48.8,47.6,41.8,48.9,73.4,55.8,93.1,24.1,108.0,98.0,104.0,102.0,118.0,74.0,63.0,81.0,71.0,80.0,88.0,126.0,91.0,105.0,88.0,142.0,83.0,82.0,24.1
Netherlands,492.4,619.2,578.3,606.7,659.8,665.3,654.1,683.9,621.2,631.2,637.9,686.7,705.2,690.5,805.6,825.6,695.2,711.7,166.2,"2,299.6","2,439.9","1,936.4","2,029.9","2,057.6","1,980.8","2,111.1","2,409.8","2,238.5","2,412.0","2,440.8","2,470.5","2,298.4","2,341.3","2,939.5","2,783.5","2,072.4","2,247.9",468.5,155.6,222.2,177.1,187.7,188.0,208.6,217.9,252.6,264.2,241.5,252.0,269.5,300.3,275.6,296.2,293.2,259.9,314.0,45.3,793.0,834.0,825.0,775.0,801.0,765.0,627.0,802.0,725.0,717.0,713.0,758.0,684.0,662.0,689.0,643.0,444.0,458.0,45.3
New Zealand,82.7,100.5,101.9,121.7,124.5,119.7,103.1,108.8,111.3,95.5,104.5,93.7,106.6,118.4,107.7,112.1,118.9,119.3,9.0,755.2,903.5,822.8,"1,247.7","1,063.5","1,086.1","1,073.3",977.6,810.5,875.2,893.9,669.7,"1,088.2","1,213.3",898.8,976.1,749.1,746.2,188.7,34.2,38.5,49.5,60.4,70.1,83.3,51.2,74.6,62.7,66.6,69.5,48.8,78.4,90.6,73.8,77.3,104.4,66.5,16.1,246.0,238.0,256.0,322.0,287.0,270.0,193.0,218.0,237.0,170.0,195.0,165.0,161.0,185.0,146.0,128.0,118.0,140.0,16.1
Nigeria,93.0,85.6,120.6,119.8,118.4,125.0,113.6,116.5,124.6,106.1,109.9,120.7,95.8,89.8,66.3,77.7,79.1,154.5,27.8,"1,379.2","1,371.5","1,760.5","2,653.9","2,198.5","2,282.5","1,715.4","1,464.2","1,659.9","1,451.6","1,402.9","1,270.9","1,238.2","1,740.3",999.6,"1,115.4",932.9,"1,857.1",464.7,145.2,108.4,144.5,154.4,170.9,143.5,183.4,151.7,202.3,162.0,176.1,179.8,166.0,123.3,114.6,132.0,111.6,219.1,32.0,284.0,266.0,342.0,356.0,295.0,270.0,226.0,278.0,283.0,201.0,226.0,253.0,210.0,162.0,107.0,128.0,114.0,130.0,32.0
Norway,178.4,182.0,218.0,265.9,302.2,306.6,337.6,324.1,372.1,382.1,396.8,480.1,471.9,434.6,380.4,336.7,357.2,321.0,62.5,768.8,665.8,817.9,"1,065.1","1,106.1","1,164.7","1,240.1","1,192.1","1,304.7","1,500.8","1,364.7","2,009.7","1,719.5","1,645.8","1,429.2","1,190.7","1,577.7","1,140.6",231.2,81.5,77.1,115.8,122.9,144.8,160.6,215.9,191.6,204.3,237.1,235.7,301.7,307.3,241.4,228.2,188.2,229.4,217.8,48.6,404.0,362.0,448.0,436.0,483.0,493.0,470.0,670.0,626.0,562.0,602.0,691.0,622.0,487.0,412.0,257.0,216.0,184.0,48.6
